Date,Henry_Street,IN,OUT
18/07/2015,45020,21805,23215
19/07/2015,33919,16614,17305
20/07/2015,43088,20200,22888
21/07/2015,41656,20323,21333
22/07/2015,44826,21993,22833
23/07/2015,52629,25665,26964
24/07/2015,53134,25097,28037
25/07/2015,52708,25089,27619
26/07/2015,25726,12509,13217
27/07/2015,41534,20061,21473
28/07/2015,45679,21841,23838
29/07/2015,43729,21391,22338
30/07/2015,49819,24052,25767
31/07/2015,45326,21633,23693
01/08/2015,47823,23147,24676
02/08/2015,31764,14962,16802
03/08/2015,37050,17398,19652
04/08/2015,41266,19596,21670
05/08/2015,40875,18795,22080
06/08/2015,48325,23217,25108
07/08/2015,43442,20290,23152
08/08/2015,43323,20874,22449
09/08/2015,34719,16715,18004
10/08/2015,42679,19830,22849
11/08/2015,44904,22019,22885
12/08/2015,44428,20334,24094
13/08/2015,48596,23220,25376
14/08/2015,42428,20780,21648
15/08/2015,44122,21347,22775
16/08/2015,35644,16431,19213
17/08/2015,46230,21105,25125
18/08/2015,45309,21582,23727
19/08/2015,35722,17381,18341
20/08/2015,39653,18311,21342
21/08/2015,46662,22051,24611
22/08/2015,40173,18214,21959
23/08/2015,16076,8486,7590
24/08/2015,43250,20469,22781
25/08/2015,32767,15294,17473
26/08/2015,44307,21101,23206
27/08/2015,48142,23093,25049
28/08/2015,48853,22970,25883
29/08/2015,43943,20556,23387
30/08/2015,34514,16292,18222
31/08/2015,35784,17250,18534
01/09/2015,42498,20393,22105
02/09/2015,42177,20468,21709
03/09/2015,44325,22013,22312
04/09/2015,43773,21125,22648
05/09/2015,45667,21259,24408
06/09/2015,35069,17059,18010
07/09/2015,40344,18681,21663
08/09/2015,42797,19641,23156
09/09/2015,41386,18925,22461
10/09/2015,45526,20843,24683
11/09/2015,35867,16188,19679
12/09/2015,44040,21241,22799
13/09/2015,26909,12370,14539
14/09/2015,37842,17688,20154
15/09/2015,45123,21485,23638
16/09/2015,41952,20356,21596
17/09/2015,44511,22270,22241
18/09/2015,46028,22745,23283
19/09/2015,44456,21063,23393
20/09/2015,28436,14152,14284
21/09/2015,41884,20306,21578
22/09/2015,42633,20519,22114
23/09/2015,43374,21217,22157
24/09/2015,45977,22343,23634
25/09/2015,47150,22827,24323
26/09/2015,44656,20313,24343
27/09/2015,34610,15879,18731
28/09/2015,43961,19839,24122
29/09/2015,41836,18877,22959
30/09/2015,42239,19531,22708
01/10/2015,49418,22511,26907
02/10/2015,47303,21679,25624
03/10/2015,45561,22321,23240
04/10/2015,33821,15447,18374
05/10/2015,37959,18057,19902
06/10/2015,,,
07/10/2015,50484,50484,0
08/10/2015,58364,58364,0
09/10/2015,48319,20144,28175
10/10/2015,70444,70189,255
11/10/2015,51429,51429,0
12/10/2015,43473,21104,22369
13/10/2015,42231,20298,21933
14/10/2015,45332,21524,23808
15/10/2015,49260,23097,26163
16/10/2015,47992,22687,25305
17/10/2015,47145,21765,25380
18/10/2015,30213,14240,15973
19/10/2015,43496,21544,21952
20/10/2015,42501,21061,21440
21/10/2015,41787,20743,21044
22/10/2015,46607,22924,23683
23/10/2015,44701,21161,23540
24/10/2015,44250,21768,22482
25/10/2015,36009,16816,19193
26/10/2015,26862,12688,14174
27/10/2015,40089,19295,20794
28/10/2015,48305,22888,25417
29/10/2015,47972,23083,24889
30/10/2015,47682,22646,25036
31/10/2015,44034,21116,22918
01/11/2015,32280,15471,16809
02/11/2015,42069,19359,22710
03/11/2015,42674,19962,22712
04/11/2015,41805,20136,21669
05/11/2015,44012,20796,23216
06/11/2015,46522,22782,23740
07/11/2015,41119,20324,20795
08/11/2015,21504,10811,10693
09/11/2015,38687,19658,19029
10/11/2015,37703,19044,18659
11/11/2015,38226,19148,19078
12/11/2015,41356,19755,21601
13/11/2015,44159,22355,21804
14/11/2015,34639,16761,17878
15/11/2015,34667,16973,17694
16/11/2015,39478,20142,19336
17/11/2015,31943,15553,16390
18/11/2015,37943,18819,19124
19/11/2015,44531,22879,21652
20/11/2015,42561,21640,20921
21/11/2015,49096,24542,24554
22/11/2015,38359,18528,19831
23/11/2015,40319,20255,20064
24/11/2015,41058,21171,19887
25/11/2015,43333,22266,21067
26/11/2015,49489,24959,24530
27/11/2015,49181,25480,23701
28/11/2015,45571,22610,22961
29/11/2015,34911,18035,16876
30/11/2015,36849,18837,18012
01/12/2015,44238,21522,22716
02/12/2015,46797,23387,23410
03/12/2015,27166,13858,13308
04/12/2015,51280,24644,26636
05/12/2015,41447,20328,21119
06/12/2015,38967,19307,19660
07/12/2015,47321,22506,24815
08/12/2015,47859,23937,23922
09/12/2015,30339,14354,15985
10/12/2015,52996,26018,26978
11/12/2015,51139,25321,25818
12/12/2015,31271,16032,15239
13/12/2015,42759,20761,21998
14/12/2015,37820,17516,20304
15/12/2015,38288,18887,19401
16/12/2015,52046,25617,26429
17/12/2015,56719,28177,28542
18/12/2015,54916,26547,28369
19/12/2015,58814,29170,29644
